Date,Day,Temperature
01/01/2005,1,8.619557365
02/01/2005,2,2.152231984
03/01/2005,3,6.223115721
04/01/2005,4,5.15380187
05/01/2005,5,4.73416452
06/01/2005,6,1.787760731
07/01/2005,7,8.353344362
08/01/2005,8,1.861314078
09/01/2005,9,5.942665462
10/01/2005,10,8.617276147
11/01/2005,11,7.761683955
12/01/2005,12,-0.055492729
13/01/2005,13,2.514428867
14/01/2005,14,0.793507444
15/01/2005,15,6.151404482
16/01/2005,16,6.924319017
17/01/2005,17,4.400527186
18/01/2005,18,-1.962841464
19/01/2005,19,4.307916017
20/01/2005,20,7.845933614
21/01/2005,21,7.000761242
22/01/2005,22,-0.66417173
23/01/2005,23,0.089376963
24/01/2005,24,-0.427689614
25/01/2005,25,1.838909514
26/01/2005,26,4.796880591
27/01/2005,27,2.501635605
28/01/2005,28,2.99551127
29/01/2005,29,2.37777268
30/01/2005,30,3.753522463
31/01/2005,31,8.373143369
01/02/2005,32,5.51032552
02/02/2005,33,3.65801085
03/02/2005,34,5.097817959
04/02/2005,35,8.352100812
05/02/2005,36,1.333161816
06/02/2005,37,1.103781617
07/02/2005,38,0.046586564
08/02/2005,39,4.539772562
09/02/2005,40,4.605856859
10/02/2005,41,1.772812847
11/02/2005,42,1.118370612
12/02/2005,43,2.315004147
13/02/2005,44,0.918420308
14/02/2005,45,1.258346237
15/02/2005,46,-1.155901387
16/02/2005,47,0.697466532
17/02/2005,48,0.688842621
18/02/2005,49,5.522416774
19/02/2005,50,0.22607411
20/02/2005,51,1.345700095
21/02/2005,52,1.790786008
22/02/2005,53,1.3209638
23/02/2005,54,-0.905436941
24/02/2005,55,-1.50669329
25/02/2005,56,1.338612953
26/02/2005,57,-3.263480301
27/02/2005,58,0.1843386
28/02/2005,59,1.266252986
01/03/2005,60,-1.395506489
02/03/2005,61,-2.003323222
03/03/2005,62,-2.841926846
04/03/2005,63,2.674768736
05/03/2005,64,2.33921702
06/03/2005,65,-0.631416598
07/03/2005,66,-0.318975493
08/03/2005,67,-3.089677246
09/03/2005,68,-0.073478581
10/03/2005,69,-1.407197212
11/03/2005,70,2.180745079
12/03/2005,71,-1.004846597
13/03/2005,72,-4.130920177
14/03/2005,73,-1.888303311
15/03/2005,74,0.878909881
16/03/2005,75,11.45668893
17/03/2005,76,8.586790453
18/03/2005,77,8.84284507
19/03/2005,78,6.418816935
20/03/2005,79,1.927877843
21/03/2005,80,8.41907027
22/03/2005,81,8.276145557
23/03/2005,82,10.76553742
24/03/2005,83,10.51450739
25/03/2005,84,9.934293104
26/03/2005,85,6.010592968
27/03/2005,86,6.833775542
28/03/2005,87,5.885739764
29/03/2005,88,4.20478918
30/03/2005,89,3.015863881
31/03/2005,90,5.310557829
01/04/2005,91,4.88745753
02/04/2005,92,6.926145132
03/04/2005,93,3.765630238
04/04/2005,94,2.38079781
05/04/2005,95,3.531081018
06/04/2005,96,5.481204748
07/04/2005,97,1.636621621
08/04/2005,98,0.899895663
09/04/2005,99,4.315768912
10/04/2005,100,8.098318462
11/04/2005,101,7.993632338
12/04/2005,102,6.659189677
13/04/2005,103,4.660673822
14/04/2005,104,4.454628386
15/04/2005,105,4.762603186
16/04/2005,106,0.173531815
17/04/2005,107,3.551963218
18/04/2005,108,5.91043094
19/04/2005,109,4.038500265
20/04/2005,110,6.178286609
21/04/2005,111,1.714323293
22/04/2005,112,8.700370841
23/04/2005,113,4.650132134
24/04/2005,114,3.731790871
25/04/2005,115,2.631280812
26/04/2005,116,6.039398906
27/04/2005,117,8.389598691
28/04/2005,118,8.312076323
29/04/2005,119,8.809325562
30/04/2005,120,3.989222883
01/05/2005,121,8.519210895
02/05/2005,122,9.831193706
03/05/2005,123,12.03756719
04/05/2005,124,5.632189584
05/05/2005,125,8.068577084
06/05/2005,126,4.956686025
07/05/2005,127,4.3065957
08/05/2005,128,4.18678625
09/05/2005,129,1.780189386
10/05/2005,130,1.321770422
11/05/2005,131,2.223764135
12/05/2005,132,3.972276554
13/05/2005,133,-0.326730416
14/05/2005,134,0.899635113
15/05/2005,135,6.49010163
16/05/2005,136,8.107125046
17/05/2005,137,-0.162957045
18/05/2005,138,0.964497053
19/05/2005,139,3.844127729
20/05/2005,140,9.561182181
21/05/2005,141,4.862047674
22/05/2005,142,4.657961117
23/05/2005,143,7.666896284
24/05/2005,144,7.013146391
25/05/2005,145,12.6419291
26/05/2005,146,11.8839578
27/05/2005,147,7.588981584
28/05/2005,148,8.013315954
29/05/2005,149,8.429093598
30/05/2005,150,5.180541642
31/05/2005,151,4.535100377
01/06/2005,152,7.332122876
02/06/2005,153,8.398109099
03/06/2005,154,8.892237368
04/06/2005,155,7.828331897
05/06/2005,156,9.143676943
06/06/2005,157,7.308094066
07/06/2005,158,4.180756363
08/06/2005,159,9.553904627
09/06/2005,160,12.43795927
10/06/2005,161,6.351942241
11/06/2005,162,7.985718698
12/06/2005,163,8.074934594
13/06/2005,164,6.556331325
14/06/2005,165,5.937533781
15/06/2005,166,11.09304923
16/06/2005,167,13.83791221
17/06/2005,168,12.77981909
18/06/2005,169,16.03503129
19/06/2005,170,15.33353863
